judet,cod_siruta,localitate,pop,localitate_clean,judet_uat,uat_cod
BUZĂU,49439,SCUTELNICI,1979,scutelnici,BZ,4234004
BUZĂU,49484,SIRIU,3063,siriu,BZ,4055718
BUZĂU,49545,SMEENI,5806,smeeni,BZ,4154380
BUZĂU,49625,STÂLPU,3033,stalpu,BZ,2407591
BUZĂU,49849,ȚINTEȘTI,4197,tintesti,BZ,4088227
BUZĂU,49643,TISĂU,4314,tisau,BZ,4055734
BUZĂU,49769,TOPLICENI,3987,topliceni,BZ,3662436
BUZĂU,49894,ULMENI,3146,ulmeni,BZ,4055858
BUZĂU,50549,UNGURIU,1969,unguriu,BZ,16312033
BUZĂU,49956,VADU PAȘII,9726,vadu pasii,BZ,4385538
BUZĂU,50399,VÂLCELELE,1372,valcelele,BZ,2407850
BUZĂU,50022,VALEA RÂMNICULUI,5180,valea ramnicului,BZ,3662703
BUZĂU,50068,VALEA SALCIEI,529,valea salciei,BZ,3662460
BUZĂU,50102,VERNEȘTI,9008,vernesti,BZ,4088197
BUZĂU,50228,VINTILĂ VODĂ,2540,vintila voda,BZ,3662576
BUZĂU,50326,VIPEREȘTI,3242,viperesti,BZ,4154347
BUZĂU,50415,ZĂRNEȘTI,4676,zarnesti,BZ,3724512
BUZĂU,50479,ZIDURI,3476,ziduri,BZ,2407915
CARAȘ-SEVERIN,50790,MUNICIPIUL REȘIȚA,58393,municipiul resita,CS,3228764
CARAȘ-SEVERIN,51010,MUNICIPIUL CARANSEBEȘ,21714,municipiul caransebes,CS,3227947
CARAȘ-SEVERIN,50889,ORAȘ ANINA,5521,orasul anina,CS,3227912
CARAȘ-SEVERIN,50923,ORAȘ BĂILE HERCULANE,3787,orasul baile herculane,CS,3227920
CARAȘ-SEVERIN,50969,ORAȘ BOCȘA,12949,orasul bocsa,CS,3227939
CARAȘ-SEVERIN,51056,ORAȘ MOLDOVA NOUĂ,9278,orasul moldova noua,CS,3227955
CARAȘ-SEVERIN,51118,ORAȘ ORAVIȚA,9346,orasul oravita,CS,3227963
CARAȘ-SEVERIN,51207,ORAȘ OȚELU ROȘU,8497,orasul otelu rosu,CS,3227971
CARAȘ-SEVERIN,51243,ARMENIȘ,2057,armenis,CS,3227980
CARAȘ-SEVERIN,51305,BĂNIA,1480,bania,CS,3227998
CARAȘ-SEVERIN,51332,BĂUȚAR,2229,bautar,CS,3228004
CARAȘ-SEVERIN,51387,BERLIȘTE,1003,berliste,CS,3228012
CARAȘ-SEVERIN,51449,BERZASCA,2132,berzasca,CS,3228020
CARAȘ-SEVERIN,51500,BERZOVIA,3247,berzovia,CS,3228039
CARAȘ-SEVERIN,51546,BOLVAȘNIȚA,1286,bolvasnita,CS,3228047
CARAȘ-SEVERIN,51573,BOZOVICI,2506,bozovici,CS,3228055
CARAȘ-SEVERIN,51626,BREBU,999,brebu,CS,3227629
CARAȘ-SEVERIN,51662,BREBU NOU,166,brebu nou,CS,3227637
CARAȘ-SEVERIN,51699,BUCHIN,1594,buchin,CS,3227653
CARAȘ-SEVERIN,51751,BUCOȘNIȚA,2642,bucosnita,CS,3227645
CARAȘ-SEVERIN,51804,CARAȘOVA,2529,carasova,CS,3227661
CARAȘ-SEVERIN,51840,CĂRBUNARI,785,carbunari,CS,3227670
CARAȘ-SEVERIN,51948,CICLOVA ROMÂNĂ,1592,ciclova romana,CS,3227688
CARAȘ-SEVERIN,51984,CIUCHICI,1019,ciuchici,CS,3227696
CARAȘ-SEVERIN,52035,CIUDANOVIȚA,444,ciudanovita,CS,3227700
CARAȘ-SEVERIN,51877,CONSTANTIN DAICOVICIU,2649,constantin daicoviciu,CS,3227718
CARAȘ-SEVERIN,52062,COPĂCELE,865,copacele,CS,3227726
CARAȘ-SEVERIN,52115,CORNEA,1556,cornea,CS,3227734
CARAȘ-SEVERIN,52160,CORNEREVA,2707,cornereva,CS,3227742
CARAȘ-SEVERIN,53489,CORONINI,1514,coronini,CS,3227564
CARAȘ-SEVERIN,52570,DALBOȘEȚ,1364,dalboset,CS,3227750
CARAȘ-SEVERIN,52650,DOCLIN,1522,doclin,CS,3227769
CARAȘ-SEVERIN,52696,DOGNECEA,1768,dognecea,CS,3227777
CARAȘ-SEVERIN,52721,DOMAȘNEA,1053,domasnea,CS,3227785
CARAȘ-SEVERIN,53700,EFTIMIE MURGU,1296,eftimie murgu,CS,3227793
CARAȘ-SEVERIN,52758,EZERIȘ,1505,ezeris,CS,3227807
CARAȘ-SEVERIN,52785,FÂRLIUG,1736,farliug,CS,3227815
CARAȘ-SEVERIN,52856,FOROTIC,1488,forotic,CS,3227823
CARAȘ-SEVERIN,52909,GÂRNIC,975,garnic,CS,3227831
CARAȘ-SEVERIN,52936,GLIMBOCA,1626,glimboca,CS,3227408
CARAȘ-SEVERIN,52954,GORUIA,660,goruia,CS,3227416
CARAȘ-SEVERIN,52990,GRĂDINARI,1764,gradinari,CS,3227424
CARAȘ-SEVERIN,53023,IABLANIȚA,1880,iablanita,CS,3227432
CARAȘ-SEVERIN,53069,LĂPUȘNICEL,771,lapusnicel,CS,3227440
CARAȘ-SEVERIN,53103,LĂPUȘNICU MARE,1427,lapusnicu mare,CS,3227459
CARAȘ-SEVERIN,53130,LUNCAVIȚA,2142,luncavita,CS,3227467
CARAȘ-SEVERIN,53167,LUPAC,2423,lupac,CS,3227475
CARAȘ-SEVERIN,53210,MARGA,900,marga,CS,3227483
CARAȘ-SEVERIN,53247,MĂURENI,2556,maureni,CS,3227491
CARAȘ-SEVERIN,53274,MEHADIA,3512,mehadia,CS,3227505
CARAȘ-SEVERIN,53327,MEHADICA,601,mehadica,CS,3227513
CARAȘ-SEVERIN,53345,NAIDĂȘ,944,naidas,CS,3227521
CARAȘ-SEVERIN,53372,OBREJA,3239,obreja,CS,3227530
CARAȘ-SEVERIN,50987,OCNA DE FIER,569,ocna de fier,CS,3227548
CARAȘ-SEVERIN,53425,PĂLTINIȘ,2145,paltinis,CS,3227556
CARAȘ-SEVERIN,53513,POJEJENA,2488,pojejena,CS,3227572
CARAȘ-SEVERIN,53577,PRIGOR,2078,prigor,CS,3227580
CARAȘ-SEVERIN,53675,RĂCĂȘDIA,1930,racasdia,CS,3227602
CARAȘ-SEVERIN,53639,RAMNA,1399,ramna,CS,3227599
CARAȘ-SEVERIN,53728,RUSCA MONTANĂ,1530,rusca montana,CS,3227610
CARAȘ-SEVERIN,53755,SACU,1443,sacu,CS,3227181
CARAȘ-SEVERIN,53791,SASCA MONTANĂ,1292,sasca montana,CS,3227190
CARAȘ-SEVERIN,53853,SICHEVIȚA,1891,sichevita,CS,3227203
CARAȘ-SEVERIN,54056,SLATINA-TIMIȘ,2682,slatina-timis,CS,3227211
CARAȘ-SEVERIN,54109,SOCOL,1602,socol,CS,3227220
CARAȘ-SEVERIN,54163,ȘOPOTU NOU,896,sopotu nou,CS,3227238
CARAȘ-SEVERIN,54350,TÂRNOVA,1499,tarnova,CS,3227262
CARAȘ-SEVERIN,54270,TEREGOVA,3446,teregova,CS,3227246
CARAȘ-SEVERIN,54305,TICVANIU MARE,1844,ticvaniu mare,CS,3227254
CARAȘ-SEVERIN,54387,TOPLEȚ,2246,toplet,CS,3227270
CARAȘ-SEVERIN,54412,TURNU RUIENI,3131,turnu ruieni,CS,3227289
CARAȘ-SEVERIN,54485,VĂLIUG,643,valiug,CS,3227297
CARAȘ-SEVERIN,54500,VĂRĂDIA,1364,varadia,CS,3227300
CARAȘ-SEVERIN,54537,VERMEȘ,1438,vermes,CS,3227319
CARAȘ-SEVERIN,54573,VRANI,1007,vrani,CS,3227327
CARAȘ-SEVERIN,54617,ZĂVOI,3514,zavoi,CS,3227335
CARAȘ-SEVERIN,54699,ZORLENȚU MARE,873,zorlentu mare,CS,3227343
CĂLĂRAȘI,92569,MUNICIPIUL CĂLĂRAȘI,58215,municipiul calarasi,CL,4445370
CĂLĂRAȘI,100610,MUNICIPIUL OLTENIȚA,22624,municipiul oltenita,CL,4294103
CĂLĂRAȘI,101458,ORAȘ BUDEȘTI,7126,orasul budesti,CL,4294154
CĂLĂRAȘI,103032,ORAȘ FUNDULEA,6714,orasul fundulea,CL,3797131
CĂLĂRAȘI,93888,ORAȘ LEHLIU- GARĂ,5991,orasul lehliu- gara,CL,16300713
CĂLĂRAȘI,94125,ALEXANDRU ODOBESCU,2737,alexandru odobescu,CL,3966281
CĂLĂRAȘI,101083,BELCIUGATELE,2476,belciugatele,CL,3966419
CĂLĂRAȘI,92961,BORCEA,7219,borcea,CL,3966389
CĂLĂRAȘI,101724,CĂSCIOARELE,1546,cascioarele,CL,3796802
CĂLĂRAȘI,101804,CHIRNOGI,6629,chirnogi,CL,3966303
CĂLĂRAȘI,101822,CHISELET,3104,chiselet,CL,3796799
CĂLĂRAȘI,93085,CIOCĂNEȘTI,3804,ciocanesti,CL,3796780
CĂLĂRAȘI,180055,CRIVĂȚ,1956,crivat,CL,19161962
CĂLĂRAȘI,102419,CURCANI,5301,curcani,CL,3796926
CĂLĂRAȘI,93281,CUZA VODA,4116,cuza voda,CL,3796896
CĂLĂRAȘI,93325,DICHISENI,1641,dichiseni,CL,3796713
CĂLĂRAȘI,93370,DOR MĂRUNT,6469,dor marunt,CL,3796730
CĂLĂRAȘI,93441,DOROBANȚU,2749,dorobantu,CL,4294014
CĂLĂRAȘI,93487,DRAGALINA,7848,dragalina,CL,4445389
CĂLĂRAȘI,93539,DRAGOȘ VODĂ,3010,dragos voda,CL,4445281
CĂLĂRAȘI,102838,FRĂSINET,1683,frasinet,CL,3966397
CĂLĂRAȘI,102945,FRUMUȘANI,6124,frumusani,CL,3796969
CĂLĂRAȘI,103014,FUNDENI,5568,fundeni,CL,3796942
CĂLĂRAȘI,179962,GĂLBINAȘI,3704,galbinasi,CL,17558053
CĂLĂRAȘI,93664,GRĂDIȘTEA,4499,gradistea,CL,4602688
CĂLĂRAȘI,103568,GURBĂNEȘTI,1148,gurbanesti,CL,3796705
CĂLĂRAȘI,103764,ILEANA,3236,ileana,CL,3796950
CĂLĂRAȘI,93771,INDEPENDENȚA,3277,independenta,CL,3966370
CĂLĂRAȘI,93815,JEGĂLIA,3858,jegalia,CL,3796756
CĂLĂRAȘI,93851,LEHLIU,2437,lehliu,CL,3796748
CĂLĂRAȘI,104083,LUICA,2032,luica,CL,3796810
CĂLĂRAȘI,93931,LUPȘANU,3006,lupsanu,CL,3796764
CĂLĂRAȘI,104181,MÂNĂSTIREA,5137,manastirea,CL,3796853
CĂLĂRAȘI,100638,MITRENI,3730,mitreni,CL,3966290
CĂLĂRAȘI,92587,MODELU,10052,modelu,CL,3966354
CĂLĂRAȘI,104323,NANA,2284,nana,CL,4445222
CĂLĂRAȘI,104341,NICOLAE BĂLCESCU,1625,nicolae balcescu,CL,3966338
CĂLĂRAȘI,94223,PERIȘORU,4705,perisoru,CL,3796888
CĂLĂRAȘI,104635,PLĂTĂREȘTI,3955,plataresti,CL,3796900
CĂLĂRAȘI,104751,RADOVANU,3695,radovanu,CL,3796845
CĂLĂRAȘI,94312,ROSEȚI,6017,roseti,CL,4294146
CĂLĂRAȘI,104886,SĂRULEȘTI,3115,sarulesti,CL,3966400
CĂLĂRAȘI,105222,SOHATU,2650,sohatu,CL,4445214
CĂLĂRAȘI,105384,ȘOLDANU,3296,soldanu,CL,3796934
CĂLĂRAȘI,105259,SPANȚOV,4595,spantov,CL,4293957
CĂLĂRAȘI,94562,ȘTEFAN CEL MARE,3146,stefan cel mare,CL,3796870
CĂLĂRAȘI,94580,ȘTEFAN VODĂ,2235,stefan voda,CL,4133000
CĂLĂRAȘI,105455,TĂMĂDĂU MARE,2664,tamadau mare,CL,3966346
CĂLĂRAȘI,105605,ULMENI,4543,ulmeni,CL,3796691
CĂLĂRAȘI,94606,ULMU,1345,ulmu,CL,3796861
CĂLĂRAȘI,94651,UNIREA,2531,unirea,CL,3796772
CĂLĂRAȘI,94731,VÂLCELELE,1665,valcelele,CL,3796837
CĂLĂRAȘI,105712,VALEA ARGOVEI,2314,valea argovei,CL,4445338
CĂLĂRAȘI,105829,VASILAȚI,4281,vasilati,CL,3796918
CĂLĂRAȘI,94768,VLAD ȚEPEȘ,2031,vlad tepes,CL,3796829
CLUJ,54975,MUNICIPIUL CLUJ-NAPOCA,286598,municipiul cluj-napoca,CJ,4305857
CLUJ,55357,MUNICIPIUL CÂMPIA TURZII,20590,municipiul campia turzii,CJ,4354566
CLUJ,55008,MUNICIPIUL DEJ,31475,municipiul dej,CJ,4349179
CLUJ,55384,MUNICIPIUL GHERLA,19873,municipiul gherla,CJ,4349071
CLUJ,55259,MUNICIPIUL TURDA,43319,municipiul turda,CJ,4378930
CLUJ,55446,ORAȘ HUEDIN,8069,orasul huedin,CJ,4485642
CLUJ,55473,AGHIREȘU,5691,aghiresu,CJ,4722374
CLUJ,55598,AITON,1061,aiton,CJ,4378743
CLUJ,55623,ALUNIȘ,1018,alunis,CJ,4349039
CLUJ,55687,APAHIDA,17239,apahida,CJ,4485243
CLUJ,55776,AȘCHILEU,1397,aschileu,CJ,4791935
CLUJ,55838,BACIU,13922,baciu,CJ,4378751
CLUJ,55918,BĂIȘOARA,1748,baisoara,CJ,5562093
CLUJ,56014,BELIȘ,1008,belis,CJ,4485260
CLUJ,56096,BOBÂLNA,1382,bobalna,CJ,4378760
CLUJ,56210,BONȚIDA,5191,bontida,CJ,4565261
CLUJ,56265,BORȘA,1511,borsa,CJ,4378778
CLUJ,56327,BUZA,1138,buza,CJ,4426158
CLUJ,56354,CĂIANU,2191,caianu,CJ,4288217
CLUJ,56425,CĂLĂRAȘI,1883,calarasi,CJ,4378786
CLUJ,56461,CĂLĂȚELE,2307,calatele,CJ,5626626
CLUJ,56522,CĂMĂRAȘU,2591,camarasu,CJ,4426166
CLUJ,56568,CĂPUȘU MARE,3451,capusu mare,CJ,5909401
CLUJ,56666,CĂȘEIU,4375,caseiu,CJ,4378794
CLUJ,57314,CÂȚCĂU,2251,catcau,CJ,4378808
CLUJ,56773,CĂTINA,1567,catina,CJ,4426174
CLUJ,56844,CEANU MARE,3333,ceanu mare,CJ,5227935
CLUJ,56988,CHINTENI,4533,chinteni,CJ,4923998
CLUJ,57083,CHIUIEȘTI,2082,chiuiesti,CJ,4486230
CLUJ,57163,CIUCEA,1293,ciucea,CJ,4485359
CLUJ,57225,CIURILA,2003,ciurila,CJ,4924004
CLUJ,57350,COJOCNA,4291,cojocna,CJ,5022204
CLUJ,57449,CORNEȘTI,1325,cornesti,CJ,4426182
CLUJ,55062,CUZDRIOARA,3001,cuzdrioara,CJ,4546936
CLUJ,57546,DĂBÂCA,1437,dabaca,CJ,4378824
CLUJ,57582,FELEACU,5693,feleacu,CJ,4354507
CLUJ,57644,FIZEȘU GHERLII,2191,fizesu gherlii,CJ,4288225
CLUJ,57706,FLOREȘTI,52735,floresti,CJ,4485391
CLUJ,57742,FRATA,3791,frata,CJ,4546944
CLUJ,57948,GÂRBĂU,2133,garbau,CJ,4485430
CLUJ,57831,GEACA,1410,geaca,CJ,4485413
CLUJ,57902,GILĂU,8980,gilau,CJ,4485421
CLUJ,58008,IARA,3577,iara,CJ,4546952
CLUJ,58142,ICLOD,3825,iclod,CJ,4288241
CLUJ,58204,IZVORU CRIȘULUI,1424,izvoru crisului,CJ,4924020
CLUJ,55106,JICHIȘU DE JOS,1049,jichisu de jos,CJ,4617670
CLUJ,58259,JUCU,5349,jucu,CJ,4426212
CLUJ,58311,LUNA,4750,luna,CJ,4546960
CLUJ,58357,MĂGURI-RĂCĂTĂU,2077,maguri-racatau,CJ,4546979
CLUJ,58393,MĂNĂSTIRENI,1174,manastireni,CJ,5698096
CLUJ,58464,MĂRGĂU,1363,margau,CJ,4426220
CLUJ,58534,MĂRIȘEL,1499,marisel,CJ,4485448
CLUJ,55160,MICA,3459,mica,CJ,4485456
CLUJ,55277,MIHAI VITEAZU,5575,mihai viteazu,CJ,4378832
CLUJ,58552,MINTIU GHERLII,3598,mintiu gherlii,CJ,4288250
CLUJ,58623,MOCIU,3300,mociu,CJ,4485472
CLUJ,58721,MOLDOVENEȘTI,3076,moldovenesti,CJ,4426239
CLUJ,60169,NEGRENI,2281,negreni,CJ,14866024
CLUJ,58794,PĂLATCA,1133,palatca,CJ,5105687
CLUJ,58856,PANTICEU,1717,panticeu,CJ,4426247
CLUJ,58918,PETREȘTII DE JOS,1391,petrestii de jos,CJ,5507056
CLUJ,58990,PLOSCOȘ,540,ploscos,CJ,5022212
CLUJ,59041,POIENI,4367,poieni,CJ,5979229
CLUJ,59130,RECEA-CRISTUR,1453,recea-cristur,CJ,4426255
CLUJ,59238,RÂȘCA,1180,rasca,CJ,5774428
CLUJ,59283,SĂCUIEU,1369,sacuieu,CJ,5698118
CLUJ,59434,SÂNCRAIU,1558,sancraiu,CJ,5612868
CLUJ,55311,SĂNDULEȘTI,1944,sandulesti,CJ,5548447
CLUJ,59498,SÂNMĂRTIN,1110,sanmartin,CJ,6528995
CLUJ,59586,SÂNPAUL,2314,sanpaul,CJ,4546987
CLUJ,59327,SĂVĂDISLA,4196,savadisla,CJ,4889497
CLUJ,59416,SIC,2234,sic,CJ,4617689
CLUJ,59657,SUATU,1552,suatu,CJ,5303080
CLUJ,59826,ȚAGA,1588,taga,CJ,4288055
CLUJ,59693,TRITENII DE JOS,3950,tritenii de jos,CJ,4426263
CLUJ,59764,TURENI,2264,tureni,CJ,4378840
CLUJ,59880,UNGURAȘ,2443,unguras,CJ,4426271
CLUJ,59942,VAD,2311,vad,CJ,4485502
CLUJ,60026,VALEA IERII,871,valea ierii,CJ,5562115
CLUJ,60062,VIIȘOARA,5668,viisoara,CJ,4426280
CLUJ,60099,VULTURENI,1535,vultureni,CJ,4426298
CONSTANȚA,60419,MUNICIPIUL CONSTANȚA,263707,municipiul constanta,CT,4785631
CONSTANȚA,60482,MUNICIPIUL MANGALIA,31950,municipiul mangalia,CT,4515255
CONSTANȚA,60847,MUNICIPIUL MEDGIDIA,34612,municipiul medgidia,CT,4301456
CONSTANȚA,60776,ORAȘ CERNAVODĂ,15088,orasul cernavoda,CT,4304568
CONSTANȚA,60455,ORAȘ EFORIE,8630,orasul eforie,CT,4617794
CONSTANȚA,60801,ORAȘ HÂRȘOVA,8737,orasul harsova,CT,7453165
CONSTANȚA,62360,ORAȘ MURFATLAR,9173,orasul murfatlar,CT,4859712
CONSTANȚA,60507,ORAȘ NĂVODARI,34398,orasul navodari,CT,4618382
CONSTANȚA,62397,ORAȘ NEGRU VODĂ,4616,orasul negru voda,CT,6398763
CONSTANȚA,60687,ORAȘ OVIDIU,13968,orasul ovidiu,CT,4301359
CONSTANȚA,60534,ORAȘ TECHIRGHIOL,8061,orasul techirghiol,CT,4300540
CONSTANȚA,60598,23 AUGUST,5178,23 august,CT,4618153
CONSTANȚA,60883,ADAMCLISI,2044,adamclisi,CT,7097998
CONSTANȚA,60570,AGIGEA,8722,agigea,CT,4701088
CONSTANȚA,60945,ALBEȘTI,3464,albesti,CT,5110918
CONSTANȚA,61005,ALIMAN,2434,aliman,CT,7453130
CONSTANȚA,63198,AMZACEA,2454,amzacea,CT,4707641
CONSTANȚA,61069,BĂNEASA,4883,baneasa,CT,5408818
CONSTANȚA,63294,BĂRĂGANU,1916,baraganu,CT,15226406
CONSTANȚA,61121,CASTELU,5241,castelu,CT,4515735
CONSTANȚA,61167,CERCHEZU,1256,cerchezu,CT,4618439
CONSTANȚA,61210,CHIRNOGENI,2959,chirnogeni,CT,6483311
CONSTANȚA,61256,CIOBANU,3409,ciobanu,CT,7249840
CONSTANȚA,61283,CIOCÂRLIA,3110,ciocarlia,CT,4514608
CONSTANȚA,61318,COBADIN,9122,cobadin,CT,4515476
CONSTANȚA,61372,COGEALAC,4686,cogealac,CT,4804407
CONSTANȚA,61452,COMANA,1639,comana,CT,7778337
CONSTANȚA,61513,CORBU,5727,corbu,CT,4707714
CONSTANȚA,63286,COSTINEȘTI,3121,costinesti,CT,12554654
CONSTANȚA,61559,CRUCEA,3010,crucea,CT,7276918
CONSTANȚA,61620,CUMPĂNA,14757,cumpana,CT,4618170
CONSTANȚA,63300,CUZA VODĂ,4116,cuza voda,CT,16432269
CONSTANȚA,61675,DELENI,2223,deleni,CT,7015203
CONSTANȚA,61737,DOBROMIR,3317,dobromir,CT,7635175
CONSTANȚA,63161,DUMBRĂVENI,453,dumbraveni,CT,6398771
CONSTANȚA,63334,FÂNTÂNELE,1368,fantanele,CT,17749029
CONSTANȚA,61808,GÂRLICIU,1376,garliciu,CT,7249794
CONSTANȚA,61826,GHINDĂREȘTI,2538,ghindaresti,CT,8826017
CONSTANȚA,63326,GRĂDINA,940,gradina,CT,17093977
CONSTANȚA,63278,HORIA,942,horia,CT,7453190
CONSTANȚA,61871,INDEPENDENȚA,2595,independenta,CT,6228149
CONSTANȚA,61951,ION CORVIN,1715,ion corvin,CT,5515059
CONSTANȚA,62020,ISTRIA,2321,istria,CT,4859801
CONSTANȚA,60632,LIMANU,6350,limanu,CT,4671688
CONSTANȚA,62057,LIPNIȚA,2876,lipnita,CT,4896001
CONSTANȚA,63152,LUMINA,10770,lumina,CT,4671807
CONSTANȚA,62137,MERENI,2054,mereni,CT,4785658
CONSTANȚA,62253,MIHAI VITEAZU,3155,mihai viteazu,CT,4860016
CONSTANȚA,62191,MIHAIL KOGĂLNICEANU,9103,mihail kogalniceanu,CT,4515328
CONSTANȚA,62280,MIRCEA VODĂ,4907,mircea voda,CT,4514632
CONSTANȚA,62440,NICOLAE BĂLCESCU,4779,nicolae balcescu,CT,4515840
CONSTANȚA,62486,OLTINA,2241,oltina,CT,6228122
CONSTANȚA,62538,OSTROV,4586,ostrov,CT,4804482
CONSTANȚA,62609,PANTELIMON,1632,pantelimon,CT,5806791
CONSTANȚA,62672,PECINEAGA,3187,pecineaga,CT,4617891
CONSTANȚA,62707,PEȘTERA,3127,pestera,CT,4515360
CONSTANȚA,62761,POARTA ALBĂ,5587,poarta alba,CT,4515239
CONSTANȚA,62798,RASOVA,3347,rasova,CT,4514675
CONSTANȚA,62878,SĂCELE,1987,sacele,CT,4859992
CONSTANȚA,63318,SALIGNY,2058,saligny,CT,16384773
CONSTANȚA,62823,SARAIU,1082,saraiu,CT,5874273
CONSTANȚA,62903,SEIMENI,1872,seimeni,CT,4514861
CONSTANȚA,62949,SILIȘTEA,1185,silistea,CT,4514853
CONSTANȚA,62985,TÂRGUȘOR,1375,targusor,CT,4514888
CONSTANȚA,63045,TOPALU,1517,topalu,CT,7249808
CONSTANȚA,63072,TOPRAISAR,5907,topraisar,CT,5459919
CONSTANȚA,63189,TORTOMAN,1547,tortoman,CT,4514926
CONSTANȚA,60721,TUZLA,6494,tuzla,CT,4707625
CONSTANȚA,63125,VALU LUI TRAIAN,16617,valu lui traian,CT,4671718
CONSTANȚA,63170,VULTURU,679,vulturu,CT,5806830
COVASNA,63394,MUNICIPIUL SFÂNTU GHEORGHE,50080,municipiul sfantu gheorghe,CV,4404605
COVASNA,63740,MUNICIPIUL TÂRGU SECUIESC,16243,municipiul targu secuiesc,CV,4201813
COVASNA,63447,ORAȘ BARAOLT,7730,orasul baraolt,CV,4404788
COVASNA,63526,ORAȘ COVASNA,9208,orasul covasna,CV,4404613
COVASNA,63580,ORAȘ ÎNTORSURA BUZĂULUI,8332,orasul intorsura buzaului,CV,4404370
COVASNA,63777,AITA MARE,1626,aita mare,CV,4201929
COVASNA,65113,ARCUȘ,1722,arcus,CV,16318699
COVASNA,63633,BARCANI,3822,barcani,CV,4404710
COVASNA,63802,BĂȚANI,4588,batani,CV,4202177
COVASNA,63866,BELIN,3181,belin,CV,4404567
COVASNA,65121,BIXAD,1585,bixad,CV,16355433
COVASNA,63893,BODOC,2481,bodoc,CV,4404621
COVASNA,63937,BOROȘNEU MARE,3186,borosneu mare,CV,4201970
COVASNA,64041,BRĂDUȚ,4923,bradut,CV,4404400
COVASNA,64005,BRATEȘ,1409,brates,CV,4404656
COVASNA,64096,BREȚCU,3132,bretcu,CV,4201864
COVASNA,64130,CATALINA,3200,catalina,CV,4201783
COVASNA,64194,CERNAT,3936,cernat,CV,4404338
COVASNA,64238,CHICHIȘ,1540,chichis,CV,4201899
COVASNA,63553,COMANDĂU,822,comandau,CV,4201937
COVASNA,65147,DALNIC,896,dalnic,CV,16355441
COVASNA,64265,DOBÂRLĂU,2275,dobarlau,CV,4404575
COVASNA,65154,ESTELNIC,1111,estelnic,CV,18257105
COVASNA,64318,GHELINȚA,4917,ghelinta,CV,4201945
COVASNA,64345,GHIDFALĂU,2614,ghidfalau,CV,4201805
COVASNA,64390,HĂGHIG,2368,haghig,CV,4404583
COVASNA,64425,ILIENI,2181,ilieni,CV,4404419
COVASNA,64461,LEMNIA,1708,lemnia,CV,4201856
COVASNA,64504,MALNAȘ,1024,malnas,CV,4201759
COVASNA,65105,MERENI,1268,mereni,CV,16260082
COVASNA,65139,MICFALĂU,1635,micfalau,CV,16410805
COVASNA,64568,MOACȘA,1239,moacsa,CV,4201740
COVASNA,64602,OJDULA,3482,ojdula,CV,4404508
COVASNA,64639,OZUN,4213,ozun,CV,4201910
COVASNA,64719,POIAN,1647,poian,CV,4201953
COVASNA,64773,RECI,2259,reci,CV,4404311
COVASNA,64826,SÂNZIENI,4408,sanzieni,CV,4201821
COVASNA,63688,SITA BUZĂULUI,4722,sita buzaului,CV,4404460
COVASNA,64871,TURIA,3622,turia,CV,4404630
COVASNA,64942,VÂLCELE,5559,valcele,CV,4404591
COVASNA,64906,VALEA CRIȘULUI,2354,valea crisului,CV,4202207
COVASNA,65099,VALEA MARE,1066,valea mare,CV,12126500
COVASNA,64997,VÂRGHIȘ,1472,varghis,CV,4404478
COVASNA,65048,ZĂBALA,4332,zabala,CV,4201848
COVASNA,65011,ZAGON,4924,zagon,CV,4404486
DÂMBOVIȚA,65342,MUNICIPIUL TÂRGOVIȘTE,66965,municipiul targoviste,DB,4279944
DÂMBOVIȚA,65841,MUNICIPIUL MORENI,15472,municipiul moreni,DB,4344597
DÂMBOVIȚA,65609,ORAȘ FIENI,6378,orasul fieni,DB,4280310
DÂMBOVIȚA,65681,ORAȘ GĂEȘTI,12583,orasul gaesti,DB,4279774
DÂMBOVIȚA,65921,ORAȘ PUCIOASA,12953,orasul pucioasa,DB,4280302
DÂMBOVIȚA,68627,ORAȘ RĂCARI,6306,orasul racari,DB,4816185
DÂMBOVIȚA,66081,ORAȘ TITU,9291,orasul titu,DB,4402590
DÂMBOVIȚA,65379,ANINOASA,6665,aninoasa,DB,4280108
DÂMBOVIȚA,66198,BĂLENI,7734,baleni,DB,4280060
DÂMBOVIȚA,66223,BĂRBULEȚU,2005,barbuletu,DB,4449402
DÂMBOVIȚA,66330,BEZDEAD,4115,bezdead,DB,4280191
DÂMBOVIȚA,66401,BILCIUREȘTI,1876,bilciuresti,DB,4280043
DÂMBOVIȚA,66009,BRĂNEȘTI,3811,branesti,DB,4344457
DÂMBOVIȚA,66152,BRANIȘTEA,3790,branistea,DB,4344279
DÂMBOVIȚA,101341,BREZOAELE,3690,brezoaele,DB,4449348
DÂMBOVIȚA,66438,BUCIUMENI,4231,buciumeni,DB,4280175
DÂMBOVIȚA,66474,BUCȘANI,6092,bucsani,DB,4344490
DÂMBOVIȚA,101564,BUTIMANU,2469,butimanu,DB,4344252
DÂMBOVIȚA,66526,CÂNDEȘTI,2579,candesti,DB,4402663
DÂMBOVIȚA,101840,CIOCĂNEȘTI,5286,ciocanesti,DB,4402736
DÂMBOVIȚA,66580,COBIA,3083,cobia,DB,4449429
DÂMBOVIȚA,66697,COJASCA,8025,cojasca,DB,4280086
DÂMBOVIȚA,66731,COMIȘANI,5538,comisani,DB,4280140
DÂMBOVIȚA,66768,CONȚEȘTI,4489,contesti,DB,4280329
