companies.caen_activities	cui	text
companies.caen_activities	caen_rev	text
companies.caen_activities	caen_code	text
companies.caen_activities	source	text
companies.eu_branches	cui	text
companies.eu_branches	branch_key	text
companies.eu_branches	branch_name	text
companies.eu_branches	country	text
companies.eu_branches	euid	text
companies.eu_branches	fiscal_code	text
companies.eu_branches	updated_at	timestamp with time zone
companies.financials	cui	text
companies.financials	year	integer
companies.financials	turnover	numeric(18,2)
companies.financials	net_profit	numeric(18,2)
companies.financials	net_loss	numeric(18,2)
companies.financials	employees	bigint
companies.financials	total_revenue	numeric(18,2)
companies.financials	total_expenses	numeric(18,2)
companies.financials	gross_profit	numeric(18,2)
companies.financials	gross_loss	numeric(18,2)
companies.financials	receivables	numeric(18,2)
companies.financials	current_assets	numeric(18,2)
companies.financials	fixed_assets	numeric(18,2)
companies.financials	cash_and_bank	numeric(18,2)
companies.financials	prepaid_expenses	numeric(18,2)
companies.financials	deferred_income	numeric(18,2)
companies.financials	subscribed_capital	numeric(18,2)
companies.financials	inventories	numeric(18,2)
companies.financials	debts	numeric(18,2)
companies.financials	provisions	numeric(18,2)
companies.financials	total_equity	numeric(18,2)
companies.financials	patrimony_regie	numeric(18,2)
companies.financials	lines	jsonb
companies.fiscal_status	cui	text
companies.fiscal_status	registered_name	text
companies.fiscal_status	is_active	boolean
companies.fiscal_status	is_vat_payer	boolean
companies.fiscal_status	is_inactive	boolean
companies.fiscal_status	main_caen_code	text
companies.fiscal_status	snapshot_at	timestamp with time zone
companies.registrations	cui	text
companies.registrations	cod_inmatriculare	text
companies.registrations	legal_form	text
companies.registrations	registration_date	date
companies.registrations	status_code	text
companies.registrations	status_label	text
companies.registrations	raw_address	text
companies.registrations	raw_county	text
companies.registrations	raw_locality	text
companies.registrations	uat_siruta_code	integer
companies.registrations	uat_name	text
companies.registrations	county_name	text
companies.registrations	match_confidence	text
companies.registrations	snapshot_at	timestamp with time zone
companies.representatives	cui	text
companies.representatives	name	text
companies.representatives	role	text
companies.status_flags	cui	text
companies.status_flags	status_code	text
companies.status_flags	status_label	text
