legal.act_aliases	alias	text
legal.act_aliases	act_id	bigint
legal.act_citation_keys	act_type	text
legal.act_citation_keys	act_number	text
legal.act_citation_keys	act_year	smallint
legal.act_citation_keys	issuer_slug	text
legal.act_citation_keys	act_id	bigint
legal.act_documents	document_id	text
legal.act_documents	act_id	bigint
legal.act_documents	version_kind	text
legal.act_documents	version_date	date
legal.act_documents	is_canonical	boolean
legal.act_documents	den	text
legal.act_documents	title	text
legal.act_documents	issuer_raw	text
legal.act_documents	publication_raw	text
legal.act_documents	entry_into_force	date
legal.act_documents	first_publication_date	date
legal.act_documents	status_markers	text[]
legal.act_documents	extraction_status	text
legal.act_documents	compatibility_tier	text
legal.act_documents	mo_part	smallint
legal.act_documents	mo_number	text
legal.act_documents	mo_date	date
legal.act_references	source_document_id	text
legal.act_references	ref_index	smallint
legal.act_references	relation	text
legal.act_references	target_raw	text
legal.act_references	target_class	text
legal.act_references	target_act_id	bigint
legal.act_references	target_external_act_id	bigint
legal.act_references	target_fragment	text
legal.act_references	resolution	text
legal.act_references	confidence	real
legal.act_references	candidates	jsonb
legal.act_references	resolver_version	text
legal.act_status_events	event_id	bigint
legal.act_status_events	act_id	bigint
legal.act_status_events	event_kind	text
legal.act_status_events	effective_date	date
legal.act_status_events	source_act_id	bigint
legal.act_status_events	evidence	jsonb
legal.act_status_events	event_source	text
legal.acts	act_id	bigint
legal.acts	act_natural_key	text
legal.acts	act_type	text
legal.acts	act_number	text
legal.acts	act_year	smallint
legal.acts	issuer_slug	text
legal.acts	canonical_document_id	text
legal.acts	display_citation	text
legal.acts	status	text
legal.acts	status_evidence	jsonb
legal.acts	entry_into_force	date
legal.acts	in_degree	integer
legal.document_embeddings	document_id	text
legal.document_embeddings	config_key	text
legal.document_embeddings	model	text
legal.document_embeddings	dimensions	integer
legal.document_embeddings	embedding	vector(768)
legal.document_embeddings	input_template_version	text
legal.document_embeddings	source_updated_at	timestamp with time zone
legal.document_nodes	node_id	bigint
legal.document_nodes	document_id	text
legal.document_nodes	parent_node_id	bigint
legal.document_nodes	node_kind	text
legal.document_nodes	label	text
legal.document_nodes	number_key	text
legal.document_nodes	path	text
legal.document_nodes	order_index	integer
legal.document_nodes	char_start	integer
legal.document_nodes	char_end	integer
legal.document_nodes	splitter_version	text
legal.document_summaries	document_id	text
legal.document_summaries	description	text
legal.document_summaries	summary	text
legal.document_summaries	plain_language_summary	text
legal.document_summaries	semantic_text	text
legal.document_summaries	document_category	text
legal.document_summaries	domains	text[]
legal.document_summaries	affected_audiences	text[]
legal.document_summaries	keywords	text[]
legal.document_summaries	key_dates	jsonb
legal.document_summaries	penalties_mentioned	boolean
legal.document_summaries	fiscal_impact	text
legal.document_summaries	confidence	real
legal.document_summaries	source_extraction_status	text
legal.document_summaries	model	text
legal.document_summaries	prompt_version	text
legal.document_summaries	source_updated_at	timestamp with time zone
legal.external_acts	external_act_id	bigint
legal.external_acts	identity_key	text
legal.external_acts	display_citation	text
legal.external_acts	kind	text
legal.mo_act_publications	mo_act_key	text
legal.mo_act_publications	mo_issue_id	bigint
legal.mo_act_publications	act_type_raw	text
legal.mo_act_publications	act_number_raw	text
legal.mo_act_publications	act_date	date
legal.mo_act_publications	issuer_raw	text
legal.mo_act_publications	title	text
legal.mo_act_publications	source_pdf_url	text
legal.mo_act_publications	act_type	text
legal.mo_act_publications	act_number_norm	text
legal.mo_act_publications	act_year	smallint
legal.mo_act_publications	issue_year	smallint
legal.mo_act_publications	issuer_slug	text
legal.mo_act_publications	act_id	bigint
legal.mo_act_publications	resolution	text
legal.mo_act_publications	matched_via	text
legal.mo_act_publications	resolver_version	text
legal.mo_act_publications	first_seen_at	timestamp with time zone
legal.mo_act_publications	last_seen_at	timestamp with time zone
legal.mo_issues	mo_issue_id	bigint
legal.mo_issues	part_code	text
legal.mo_issues	issue_label	text
legal.mo_issues	issue_number	integer
legal.mo_issues	issue_suffix	text
legal.mo_issues	issue_year	smallint
legal.mo_issues	issue_date	date
legal.mo_issues	mo_part	smallint
legal.mo_issues	pdf_url	text
legal.mo_issues	s3_bucket	text
legal.mo_issues	s3_key	text
legal.mo_issues	pdf_sha256	text
legal.mo_issues	pdf_bytes	bigint
legal.mo_issues	source_issue_id	text
legal.mo_issues	source_document_id	text
